編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2002,中鋼,未知,0.57,0.95,0.14|-0.03|-0.15|-0.09|,-0.36,-58.19,0.5,0,-0.29,3.04,-1.38,-4.14,20.95,84.83,80.02,21.82|24.92|24.2|24.21|20.91|,2020/8,N,N,N
2006,東和鋼鐵,未知,1.56,1.38,0.39|0.46|0.48|0.7|,2.32,12.93,1.35,0,2.32,5.49,7.73,33.14,30,81.69,85.36,19.37|23.8|23.25|21.53|23.42|,2020/8,Y,N,N
2010,春源,未知,0.37,0.68,0.09|0.13|0.09|0.14|,0.54,20.83,0.3,0,0.45,4.33,4,6.43,11.25,74.97,76.82,10.51|11.73|10.93|10.33|9.73|,2020/8,N,N,N
2012,春雨,未知,1.6,1.15,0.52|0.28|0.01|0.33|,0.73,23.49,1.2,0,0.61,4.86,3.56,8.71,17.15,52.85,57.19,13.67|14.08|18.91|21.42|17.57|,2020/8,N,N,N
2013,中鋼構,未知,0.82,0.6,0.15|0.41|0.21|1.44|,3.11,10.14,0.81,0,2.32,2.02,7.35,33.14,31.55,71.85,74.05,21.83|20.52|26.99|25.42|24.45|,2020/8,N,N,N
2015,豐興,未知,3.37,3.94,0.62|0.82|0.88|1.1|,3.95,14.51,3,0,3.28,5.94,5.72,46.86,57.3,57.99,56.89,41.9|51.4|58.51|57.4|52.75|,2020/8,N,N,N
2020,美亞,未知,1.96,1.6,0.38|0.33|-0.02|0.59|,1.13,14.42,1.85,0,0.98,9.07,6.01,14,16.3,67.38,76.03,12.92|13.74|14.65|15.34|16.12|,2020/8,N,N,N
2024,志聯,未知,0.18,0.67,0.02|-0.02|-0.02|0.02|,0,∞,0.35,0,0,4.92,0,0,14.8,-189.05,-189.78,7.25|9.23|10.37|10.75|13.24|,2020/8,N,N,Y
2027,大成鋼,未知,1.48,1.75,0.18|-0.16|-0.17|-0.59|,-0.8,-25.62,1,0.2,-0.21,2.99,-1.02,-3,20.5,40.54,59.63,16.2|18.2|37.27|40.63|26.51|,2020/8,N,N,N
2029,盛餘,未知,0.11,1.29,-0.04|-0.03|-0.01|-0.07|,-0.18,-106.11,0.15,0,-0.03,3.24,-0.16,-0.43,19.1,74.31,76.2,23.97|35.08|24.13|19.58|17.49|,2020/8,N,N,N
2030,彰源,未知,0.94,1.49,0.36|0.23|-0.17|-0.04|,-0.43,-24.77,0.51,0,-0.19,6.21,-1.78,-2.71,10.65,44.56,55.49,9.97|13.6|14.91|13.08|10.55|,2020/8,N,N,N
2031,新光鋼,未知,0.39,1.65,0.49|-0.15|-0.35|0.67|,0.72,43.47,0.81,0,0.57,3.01,1.82,8.14,31.3,52.74,61.68,16.46|26.33|35.91|30.17|26.55|,2020/8,N,N,N
