編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
2428,興勤,電子零組件業,8.71,7.46,2.56|2.25|1.56|2.64|,8.99,11.68,4.2,0,4.22,3.33,4.02,60.29,105,14.58,21.65,55.48|82.49|82.6|83.08|90.73|,2020/8,N,N,Y
2430,燦坤,電子通路業,1.27,1.78,0.4|0.3|0.58|0.18|,1.56,12.18,1,0,1.11,4.92,5.84,15.86,19,62.2,65.29,25.75|26.11|22.73|18.77|17|,2020/8,N,N,N
2433,互盛電,其他電子業,4.24,3.68,1.89|0.75|0.65|0.68|,2.68,18.17,3.8,0,2.46,5.75,5.05,35.14,48.7,22.67,17,41.75|42.23|44.2|47.94|51.58|,2020/8,N,N,Y
2439,美律,未知,12.51,11.28,4.34|2.3|0.23|1.47|,3.64,43.41,7.7,0,2.85,4.52,1.8,40.71,158,63.03,49.1,86.89|188.62|150.06|159.5|143.45|,2020/8,N,N,N
2441,超豐,半導體業,3.33,3.87,1.02|0.86|0.96|1.16|,4.51,11.37,2.3,0,3.09,4.41,6.02,44.14,51.3,39.29,41.42,37.67|47.4|50.67|42.94|46.74|,2020/8,N,Y,N
2449,京元電子,半導體業,2.49,2.07,0.86|0.83|0.73|0.89|,3.45,9.14,1.8,0,2.74,3.82,8.68,39.14,31.55,64.11,51.97,27.2|29.4|25.8|30.59|33.81|,2020/8,Y,Y,N
2450,神腦,未知,1.59,2.73,0.67|0.4|0.35|0.24|,1.2,24.33,1.45,0,1.09,5.24,3.73,15.57,29.2,83.31,74.78,47.2|53.17|45.6|32.83|29.31|,2020/8,N,N,N
2451,創見,半導體業,4.01,5.84,1.24|0.92|1.08|0.62|,3.26,19.66,4.5,0,3.17,6.79,4.95,45.29,64.1,36.24,44.75,91.62|91.42|77.72|68.92|70.99|,2020/8,N,N,N
2453,凌群,資訊服務業,1.29,0.83,0.28|0.42|0.25|0.38|,1.49,11.71,1,0,1.11,3.63,6.36,15.86,17.45,15.97,30.1,10.9|12.74|13.25|15.27|16.66|,2020/8,N,N,Y
2454,聯發科,半導體業,14.69,15.05,4.38|4.03|3.64|4.58|,18.92,32.29,10.5,0,12.8,2.52,2.09,182.86,611,81.37,73.76,230.89|259.95|279.48|329.77|479.94|,2020/8,N,N,N
2455,全新,未知,2.79,2.32,0.83|0.68|0.76|0.72|,3.21,26.51,2.5,0,3.4,3.26,4,48.57,85.1,69.15,58.2,46.95|64.98|92.74|93.43|90.85|,2020/8,N,N,N
2456,奇力新,電子零組件業,4.71,7.05,1.51|0.6|1.03|2.31|,7.41,13.04,3.37,0,4.78,3.67,4.95,68.29,96.6,30.61,33.4,64.64|84.52|110.18|89|101.9|,2020/8,N,N,N
2458,義隆,半導體業,8.57,3.77,2.35|3.37|0.18|3.15|,8.15,18.83,6.5,0,8.15,4.3,5.31,116.43,153.5,58.12,62.41,36.95|42.66|51.84|83.73|110.04|,2020/8,N,N,N
2459,敦吉,電子通路業,4.2,3.92,1.36|1.22|0.77|0.96|,3.63,11.32,3.01,0,2.62,7.16,6.37,37.43,41.1,80.24,70.94,34.26|40.55|39.45|38.67|40.23|,2020/8,N,N,N
2462,良得電,電子零組件業,0.93,0.94,0.45|0.22|-0.23|0.68|,1,25.05,0.7,0,1.67,1.84,6.67,23.86,25.05,24.82,20.36,18.21|25.79|28.13|28.92|26.06|,2020/8,N,N,Y
2464,盟立,其他電子業,3.49,3.2,0.75|0.37|0.72|0.71|,2.76,15.51,2.5,0,1.9,5.38,4.44,27.14,42.8,20.11,25.76,38.74|41.26|44.62|43.08|38.38|,2020/8,N,N,Y
2467,志聖,電子零組件業,2.09,2.48,0.56|0.29|0.56|0.57|,2.27,11.98,2.5,0,1.65,6.74,6.07,23.57,27.2,53.48,53.03,15.16|22.72|26.7|28.73|27.11|,2020/8,N,N,N
2468,華經,資訊服務業,0.66,0.65,0.21|0.19|0.2|0.09|,0.79,17.53,0.5,0,0.6,3.8,4.33,8.57,13.85,64.04,47.29,10.64|11.17|11.97|12.16|13.47|,2020/8,N,N,N
2471,資通,資訊服務業,1.69,1.23,0.24|0.69|0.11|0.05|,0.37,54.05,1.42,0,0.38,6.44,1.9,5.43,20,49.11,45.79,13.87|15.83|14.91|17.55|20.69|,2020/8,N,N,N
2472,立隆電,電子零組件業,3.35,3.5,0.79|0.78|0.92|1.62|,5.35,9.98,1.5,0,3.29,4.48,6.16,47,53.4,22.1,35.5,37.14|43.55|56.99|41.07|42.07|,2020/8,N,N,Y
2474,可成,其他電子業,14.63,28.1,4.41|4.48|5.09|3.63|,22.4,8.48,10,0,8.77,3.46,4.62,125.29,190,18.45,18.82,239.16|318.52|328.63|234.66|220.98|,2020/8,N,N,Y
2476,鉅祥,電子零組件業,1.79,2.05,0.47|0.34|-0.2|0.57|,0.9,21.33,1.3,0,0.67,5.92,3.49,9.57,19.2,43.03,50.56,23.69|26.04|25.17|23.64|20.37|,2020/8,N,N,N
2477,美隆電,其他電子業,2.12,1.45,0.5|0.75|-0.03|0.43|,0.87,27.01,1.6,0,0.37,6.13,1.57,5.29,23.5,45.06,51.81,13.75|23.97|23.93|22.54|21.9|,2020/8,N,N,N
2478,大毅,電子零組件業,2.3,2.51,0.86|0.49|1.67|1.73|,5.86,12.03,1.8,0,3.12,2.42,4.43,44.57,70.5,53.13,44.24,16.81|23.87|65.26|46.18|72.3|,2020/8,N,N,N
2481,強茂,半導體業,1.5,1.69,0.31|0.48|0.31|0.89|,2.48,14.48,1.05,0,1.48,3.7,4.12,21.14,35.9,26.79,27.35,15.88|21.02|40.05|27.1|26.71|,2020/8,N,N,N
2483,百容,電子零組件業,1.43,1.55,0.39|-0.03|0.61|0.23|,1.64,11.52,1,0,1.31,6.07,6.93,18.71,18.9,38.48,38.19,17.72|20.1|20.88|20.24|19|,2020/8,N,N,N
2484,希華,電子零組件業,0.76,1.32,0.34|-0.05|0.24|0.32|,1.16,19.09,0.95,0,1,5.4,4.51,14.29,22.15,35.25,36.25,18.81|20.09|19.58|20.06|20.37|,2020/8,N,N,N
2488,漢平,其他電子業,3.5,3.63,1.02|0.74|-0.29|1.05|,1.89,17.17,2.3,0,1.33,5.86,4.1,19,32.45,77.18,74.93,44.04|38.56|30.28|36.62|29.45|,2020/8,N,N,N
2492,華新科,電子零組件業,13.72,13.09,3.57|2.35|1.35|3.98|,11.12,14.66,5.5,0,4.93,3.32,3.02,70.43,163,59.98,45.66,29.61|61.92|217.3|174.79|192.71|,2020/8,N,N,N
2493,揚博,電子零組件業,2,2.5,0.37|0.45|1.01|0.67|,3.35,9.54,2.5,0,3.05,5.98,9.55,43.57,31.95,33.68,47.59,25.26|26.93|25.75|28.13|30.53|,2020/8,Y,N,N
2495,普安,其他電子業,0.73,0.74,0.17|0.03|-0.91|0.61|,-0.64,-19.53,0.61,0,-0.57,3.98,-4.56,-8.14,12.5,26.87,33.92,16.24|15.41|12.51|13.28|12.35|,2020/8,N,N,N
2496,卓越,其他業,4.35,5.8,1.54|0.96|0.82|0.45|,2.28,26.67,1.52,1.01,1.45,3.95,2.38,20.71,60.8,24.07,33.84,39.78|188.31|126.76|80.64|64.25|,2020/8,N,N,Y
2501,國建,建材營造業,1.18,1.9,-0.02|0.78|-0.15|0.21|,0.19,105.79,1,0,0.14,6.49,0.7,2,20.1,73.01,67.86,14.67|18.53|17.34|22.4|19.52|,2020/8,N,N,N
2504,國產,建材營造業,0.8,0.8,0.17|0.39|0.19|0.55|,1.54,15.62,0.3,0,3.71,2.71,15.43,53,24.05,81,83.7,7.97|8.83|9.23|9.8|15.04|,2020/8,Y,N,N
2505,國揚,建材營造業,0.08,0.22,-0.05|0.09|-0.04|6.57|,12.06,2.31,1.65,0,43.49,4.08,156.44,621.29,27.8,13.74,17.47,11.98|13.42|13.8|13.06|22.27|,2020/8,N,N,Y
2509,全坤建,建材營造業,1.89,2.1,0.31|0.05|0.2|-0.05|,0.19,103.68,0.2,1,-0.04,2.91,-0.2,-0.57,19.7,56.6,48.01,20.54|18.97|29.03|27.28|21.07|,2020/8,N,N,N
2511,太子,建材營造業,0.59,0.9,0.14|0.09|-0.01|0.08|,0.07,151.43,0.5,0,0.06,5.04,0.57,0.86,10.6,73.71,67.55,10.57|11.49|11.22|11.19|10.07|,2020/8,N,N,N
2515,中工,建材營造業,0.2,0.22,0.01|0.07|0|0.18|,0.37,22.46,0.2,0,0.32,2.16,3.85,4.57,8.31,71.29,70.08,5.79|6.68|7.84|7.8|7.15|,2020/8,N,N,N
2520,冠德,建材營造業,2.6,1.4,0.53|1.6|0.61|0.98|,4.3,9.4,1.5,0,3.01,3.28,7.45,43,40.4,58.03,67.98,16.28|19.52|20.81|25.92|29.77|,2020/8,Y,N,N
2527,宏璟,建材營造業,2.84,1.5,1.94|0.39|0.2|0.11|,1.05,18,1.8,0,2.05,5.6,10.85,29.29,18.9,33.77,24.48,17.39|20.39|27.86|22.89|20.14|,2020/8,Y,N,Y
2530,華建,建材營造業,-0.25,1,-0.05|-0.11|-0.08|-0.06|,-1.72,-9.16,0.1,0,-1.6,3.15,-10.16,-22.86,15.75,41.02,36.74,15.21|14.26|15.54|16.1|16.44|,2020/8,N,N,N
2534,宏盛,建材營造業,1.89,1.92,0.64|0.45|0.4|-0.04|,0.56,32.32,0.5,0,0.14,2.7,0.77,2,18.1,68.54,62.71,16.24|21.12|31.85|23.23|18.47|,2020/8,N,N,N
2536,宏普,建材營造業,1.83,2.63,1.01|0.56|0.54|0.6|,2.86,8.37,1.2,0,1.84,5.07,7.68,26.29,23.95,58.13,60.26,25.47|23.02|21.33|20.86|22.99|,2020/8,Y,Y,N
2538,基泰,建材營造業,-0.68,0.67,-0.06|-0.69|0.02|-0.18|,-0.26,-39.04,0.5,0,-0.36,6.44,-3.55,-5.14,10.15,49.31,44.72,12.94|10.52|11.38|12.09|10.28|,2020/8,N,N,N
2539,櫻花建,建材營造業,3.15,2.41,0.4|2.1|0.22|0.29|,2.11,14.74,0.99,1.88,0.84,2.96,2.7,12,31.1,23.92,20.17,26.54|27.93|28.56|28.98|32.47|,2020/8,N,N,Y
2542,興富發,建材營造業,2.66,4.6,0.22|0.6|0.02|1.44|,2.37,19.56,1,0,2.13,5.91,4.6,30.43,46.35,81.6,76.97,45.46|46.82|45.84|48.06|43.66|,2020/8,N,N,N
2545,皇翔,建材營造業,0.04,1.92,-0.5|0.52|0.41|0.46|,2.03,18.79,1.2,0,13.06,4.4,34.23,186.57,38.15,53.78,54.79,33.86|37.24|27.49|30.49|34.57|,2020/8,Y,N,N
2547,日勝生,建材營造業,0.45,2.07,0.54|0.08|-0.02|0.09|,0.17,64.41,0.61,0,-0.03,5.83,-0.27,-0.43,10.95,63.4,61.61,10.01|12.63|13.43|13.11|10.08|,2020/8,N,N,N
2596,綠意,建材營造業,0.41,2.33,-0.12|0.89|-0.04|0.13|,9.59,2.22,1,0,10.08,7.16,47.44,144,21.25,70.63,59.44,14.68|18.63|21.15|21.71|20.28|,2020/8,Y,N,N
2597,潤弘,建材營造業,5.03,4.42,1.98|1.86|0.63|0.77|,3.1,19.39,4.5,0,2.83,7.76,4.71,40.43,60.1,42.25,31.87,40.28|40.33|39.14|57.08|61.28|,2020/8,N,N,N
2605,新興,未知,0.17,0.78,0.1|0.62|0.07|0.3|,0.61,24.51,0.5,0,0.75,3.34,5.02,10.71,14.95,30.48,34.89,19.42|21.92|17.09|16.22|14.17|,2020/8,N,N,N
2606,裕民,未知,1.92,1,1.02|0.75|-0.46|0.12|,-0.79,-37.22,1.9,0,-0.55,4.72,-1.87,-7.86,29.4,33.9,51.85,24.42|32.76|34.05|32.56|29.14|,2020/8,N,N,N
2607,榮運,未知,0.79,0.8,0.16|0.21|0.15|0.19|,0.68,20.66,0.3,0,0.31,2.5,2.21,4.43,14.05,50.92,54.17,13.05|14.03|13.33|13.88|13.25|,2020/8,N,N,N
2608,大榮,未知,2.9,2.7,0.81|0.76|0.64|0.72|,2.89,14.13,1.45,0,1.76,3.89,4.31,25.14,40.85,58.55,57.6,41.35|39.2|38.61|37.13|39.7|,2020/8,N,N,N
2612,中航,未知,1.64,1.25,0.45|0.23|0.01|0.67|,1.36,18.09,0.8,0,1.28,2.05,5.2,18.29,24.6,18.92,36.07,23.83|28.92|30.55|31.68|24.85|,2020/8,N,N,Y
2613,中櫃,未知,0.27,0.42,0.17|0.19|-0.12|-0.09|,-0.46,-34.13,0.17,0,-0.17,1.66,-1.08,-2.43,15.7,39.47,54.94,13.33|13.35|12.56|13.5|13.48|,2020/8,N,N,N
2614,東森,未知,0.7,1.22,0.02|0.66|0.1|0.03|,0.13,124.23,1,0,0.13,6.94,0.8,1.86,16.15,35.53,34.05,6.54|8.94|13.52|11.48|13.88|,2020/8,N,N,N
2615,萬海,未知,1.61,1.11,0.29|0.54|0.04|0.76|,1.65,12,0.8,0,1.22,3.28,6.16,17.43,19.8,23.6,26.25,17.03|18.11|17|17.82|17.16|,2020/8,N,N,Y
2616,山隆,未知,2.14,2.63,0.9|0.36|0.47|0.54|,1.8,16.58,1.8,0,1.36,6.11,4.56,19.43,29.85,80.14,70.16,24.98|32.18|31.36|29.86|29.67|,2020/8,N,N,N
2617,台航,未知,1.44,1.27,0.43|0.37|0.39|0.26|,1.33,12.67,0.8,0,0.97,4.06,5.76,13.86,16.85,23.79,34.02,12.7|14.27|17.84|19.06|15.94|,2020/8,N,N,Y
2618,長榮航,未知,0.82,1.2,0.26|0.15|-0.25|-0.13|,-0.58,-19.66,0.25,0,-0.14,1.79,-1.23,-2,11.4,33.36,48.35,15.71|15.15|15.08|14.63|11.26|,2020/8,N,N,N
2630,亞航,未知,0.37,0.87,0.12|0.09|-0.18|0.23|,0.11,147.73,0.08,0,0.27,2.33,1.66,3.86,16.25,33.54,31.41,27.01|20.72|16.16|,2020/8,N,N,Y
2633,台灣高鐵,未知,1.42,2.44,0.34|0.33|0.2|0.08|,0.59,54.49,1.21,0,0.37,2.58,1.15,5.29,32.15,40.06,33.93,18.99|23.47|25.65|37.45|34.28|,2020/8,N,N,N
2634,漢翔,未知,1.99,2.12,0.62|0.46|0.06|0.25|,0.65,45.46,1.19,0,0.36,2.94,1.22,5.14,29.55,20.48,33.66,41.76|36.02|32.02|32.21|29.46|,2020/8,N,N,Y
2636,台驊投控,未知,2.15,2.21,0.72|0.45|0.19|1.47|,3.69,9.63,1.32,0,2.44,5.18,6.86,34.86,35.55,45.43,63.45,21.79|22.76|24.13|24.94|25.62|,2020/8,N,Y,N
2637,慧洋-KY,未知,3.35,2.81,0.6|0.62|-0.18|-0.42|,-1.33,-16.69,1.42,0.24,-0.9,3.99,-4.05,-12.86,22.2,23.45,39.44,33.8|30.14|29.11|30.26|24.33|,2020/8,N,N,Y
2640,大車隊,其他業,4.95,4.11,1.51|1.12|1.01|1.17|,4.13,21.26,3.7,0.5,3.26,3.99,3.71,46.57,87.8,19.27,23.68,53.57|59.05|67.29|68.52|79.15|,2020/8,N,N,Y
2641,正德,未知,0.53,0.5,0.12|0.17|0.17|0.14|,0.62,12.92,0.1,0.1,0.16,1.24,2,2.29,8.01,27.71,47.86,9.41|7.99|7.29|7.69|6.47|,2020/8,N,N,N
2642,宅配通,未知,1.69,1.12,0.45|0.39|0.57|0.58|,2.35,14.47,1.2,0,1.62,3.12,4.76,23.14,34,57.87,58.81,25.69|27.21|25.33|25.08|31.75|,2020/8,N,N,N
2643,捷迅,未知,4.6,3.79,1.55|1.75|1.1|1.9|,7.53,6.63,2,0,4.51,4.15,9.04,64.43,49.9,18.74,30.21,40.62|39.76|31.19|33.22|43.39|,2020/8,Y,Y,Y
2701,萬企,未知,0.89,0.82,0.31|0.17|0.1|0.06|,0.32,37.19,0.4,0,0.11,2.39,0.92,1.57,11.9,59.46,40.51,14.08|13.69|12.95|13.06|12.15|,2020/8,N,N,N
2706,第一店,未知,1.06,1.03,0.36|0.17|0.1|0.04|,0.27,50,0.45,0,0.08,2.28,0.59,1.14,13.5,48.18,59.85,17.73|16.47|14.81|14.92|13.8|,2020/8,N,N,N
2707,晶華,未知,10.58,9.25,2.19|2.55|1.16|0.69|,4.3,30.93,3.92,0,3.52,3.14,2.65,50.29,133,34.3,34.72,189.27|158.45|145.99|159.07|140.84|,2020/8,N,N,N
2722,夏都,未知,0.36,0.86,0.32|0|-0.13|0.02|,-0.36,-77.78,0.2,0,-0.18,0.94,-0.64,-2.57,28,43.5,47.52,43.08|37.2|31.15|25.61|27.43|,2020/8,N,N,N
2723,美食-KY,未知,5.18,8.94,1.32|0.9|0.36|1.16|,3.01,35.71,3,0,1.37,2.07,1.27,19.57,107.5,64.81,60.18,273.59|332.17|300.91|172.33|98.62|,2020/8,N,N,N
2726,雅茗-KY,未知,3.76,3.67,1.42|0.27|-1.57|-0.13|,-3.89,-15.99,2.5,0.5,-2.96,3.17,-4.76,-42.29,62.2,34.7,30.13,69.03|89.81|69.29|65.74|62.08|,2020/8,N,N,Y
2727,王品,未知,4.77,3.99,1.72|0.74|-1.98|0.86|,-6.48,-11.48,4.44,0,-7.3,4.2,-9.81,-104.29,74.4,78.97,71.03,130.02|159.8|101|81.66|70.98|,2020/8,N,N,N
2729,瓦城,未知,15.51,13.98,4.95|2.01|1.25|2.18|,6.37,34.22,10,0,5.43,3.68,2.49,77.57,218,47.84,33.45,221.99|236.17|231.01|271.22|234.69|,2020/8,N,N,N
2731,雄獅,未知,3.14,4.65,0.12|0.8|0.49|-2.9|,-3.77,-17.43,2,0,-3.2,4.15,-4.87,-45.71,65.7,65.03,63.68,90.59|95.33|106.07|82.63|70.29|,2020/8,N,N,N
2732,六角,未知,9.7,5.81,3.18|2|0.2|0.35|,1.67,78.44,8.45,0,1.44,3.43,1.1,20.57,131,54.52,63.75,80.34|83.69|81.78|131.55|143.54|,2020/8,N,N,N
2739,寒舍,未知,1.11,1.76,-0.24|1.05|-1.74|-0.7|,-5.34,-4.64,1,0,-4.81,4.05,-19.4,-68.71,24.8,46.34,35.1,37.27|36.47|33.62|27.5|24.13|,2020/8,N,N,N
2745,五福,未知,0.89,1.04,0.33|-0.91|0.52|-0.89|,-0.54,-28.98,0.3,0,-0.34,2.47,-2.17,-4.86,15.65,66.55,59.22,25|20.68|17.17|,2020/8,N,N,N
2748,雲品,未知,2.8,3.14,0.1|1.1|0.11|-0.04|,0.13,319.23,1,1.5,0.09,3.58,0.22,1.29,41.5,30.05,36.31,48.99|63.43|62.76|59.84|45.8|,2020/8,N,N,N
2801,彰銀,未知,1.15,1.25,0.3|0.25|0.25|0.17|,非數值,非數值,0.4,0.4,非數值,1.89,非數值,非數值,18,49.26,34.78,16.41|17.17|17.56|20.29|20.06|,2020/8,N,N,N
2809,京城銀,未知,2.99,3.53,1.1|1.21|0.79|0.98|,非數值,非數值,1.5,0,非數值,3.8,非數值,非數值,37.15,68.77,56.56,23.97|31.38|33.83|32.09|34.18|,2020/8,N,N,N
2812,台中銀,未知,1.14,1.11,0.28|0.31|0.24|0.25|,非數值,非數值,0.28,0.52,非數值,2.82,非數值,非數值,10.9,32.61,27.86,9.12|9.72|10.3|11.73|11.58|,2020/8,N,N,Y
2816,旺旺保,保險業,3.3,2.62,1.11|0.27|-0.32|1.68|,非數值,非數值,0.88,0.5,非數值,3.39,非數值,非數值,18.85,55.33,68.77,13.29|15.88|18.82|20.02|19.42|,2020/8,N,N,N
2823,中壽,保險業,3.2,2.65,1.23|0.12|1|0.79|,非數值,非數值,0.6,0,非數值,2.44,非數值,非數值,20.35,44.93,37.76,26.71|30.28|30.46|25.71|21.35|,2020/8,N,N,N
2832,台產,保險業,1.94,2.04,0.61|0.35|0.36|0.56|,非數值,非數值,1,0,非數值,4.1,非數值,非數值,19.75,60.83,56.82,19.8|19.48|20.5|20.29|19.8|,2020/8,N,N,N
2834,臺企銀,未知,0.96,0.92,0.3|0.15|0.18|0.13|,非數值,非數值,0.2,0.5,非數值,1.91,非數值,非數值,9.9,42.79,37.93,8.19|8.34|9.72|12.4|10.85|,2020/8,N,N,N
2838,聯邦銀,未知,0.99,1.04,0.35|0.3|0.13|0.17|,非數值,非數值,0.1,0.7,非數值,2.28,非數值,非數值,10.1,41.85,34.84,8.92|9.1|9.83|10.8|10.72|,2020/8,N,N,N
2845,遠東銀,未知,1.08,1.06,0.25|0.16|0.11|0.37|,非數值,非數值,0.47,0.28,非數值,3.99,非數值,非數值,10.4,33.52,22.48,9.25|9.52|10.07|11.71|11.02|,2020/8,N,N,Y
2849,安泰銀,未知,1.13,1.24,0.25|0.24|0.36|0.25|,非數值,非數值,0.73,0,非數值,3.85,非數值,非數值,14.4,70.21,56.63,13.66|13.19|13.85|14.67|14.42|,2020/8,N,N,N
2850,新產,保險業,4.94,4.44,1.55|1.44|0.66|1.53|,非數值,非數值,1.8,0,非數值,5.78,非數值,非數值,35.4,79.38,69.99,23.95|26.44|34.55|38.06|36.02|,2020/8,N,N,N
2851,中再保,保險業,1.87,1.74,0.72|0.12|0.75|0.79|,非數值,非數值,0.9,0,非數值,3.79,非數值,非數值,20.6,60.91,72.5,14.28|15.3|18.52|18.13|19.03|,2020/8,N,N,N
2852,第一保,保險業,1.93,1.67,0.46|0.45|-0.57|0.72|,非數值,非數值,0.96,0,非數值,4.76,非數值,非數值,13.1,74.83,58.38,11.68|13.73|14.27|14.64|13.58|,2020/8,N,N,N
2855,統一證,未知,1.72,1.15,0.42|0.49|-0.67|1.11|,1.26,12.74,1,0.2,0.63,4.16,3.93,9,16.05,40.77,50.1,12.11|13.73|14.08|13.38|14.07|,2020/8,N,Y,N
2880,華南金,未知,1.3,1.23,0.37|0.23|-0.12|0.23|,0.24,75.62,0.56,0.56,0.11,2.31,0.61,1.57,18.15,60.2,39.97,16.04|16.91|17.68|20.39|19.8|,2020/8,N,N,N
2881,富邦金,未知,5.46,5.22,2.29|0.47|2.24|1.12|,7.18,6.09,2,0,3,3.69,6.86,42.86,43.75,75.23,58.34,41.96|48.6|50.79|44.71|42.46|,2020/8,N,Y,N
2882,國泰金,未知,4.76,4.31,1.41|0.9|1.77|0.41|,5.25,7.64,2,0,2.48,3.65,6.18,35.43,40.1,70.78,47.43,39.18|49.38|52.23|42.47|39.78|,2020/8,N,Y,N
2885,元大金,未知,1.73,1.37,0.53|0.27|0.35|0.57|,1.97,9.26,0.65,0.4,0.82,3.92,4.49,11.71,18.25,24.43,22.48,11.13|13.11|14.44|18.14|17.97|,2020/8,N,N,Y
2890,永豐金,未知,1.11,0.91,0.26|0.27|0.21|0.29|,1.01,10.74,0.7,0,0.55,3.79,5.07,7.86,10.85,64.85,66.07,9.35|9.34|10.65|12.01|11.64|,2020/8,N,N,N
2891,中信金,未知,2.16,1.86,0.91|0.24|0.62|0.31|,1.92,9.84,1,0,0.97,3.78,5.13,13.86,18.9,51.36,40.07,17.04|19.23|21.25|20.96|20.2|,2020/8,N,N,N
2897,王道銀行,未知,0.45,0.53,0.13|0.02|0.05|0.09|,非數值,非數值,0.4,0,非數值,3.02,非數值,非數值,7.01,89.45,87.16,8.95|8.4|7.85|7.1|,2020/8,N,N,N
2901,欣欣,未知,0.45,0.47,0.1|0.17|0.07|0.01|,0.17,139.71,0.4,0,0.15,1.66,0.63,2.14,23.75,58.23,46.99,25.91|25.44|25.14|23.74|23.57|,2020/8,N,N,N
2903,遠百,未知,1.26,1.06,0.32|0.46|0.06|0.23|,0.71,35.92,0.8,0,0.6,4.4,2.35,8.57,25.5,46.99,48.6,16.89|15.52|17.03|20.8|24.05|,2020/8,N,N,N
2904,匯僑,其他業,1.96,1.77,0.41|0.5|0.4|0.78|,2.33,10.45,1.65,0,2.04,5.13,8.38,29.14,24.35,31.25,43.94,26.32|21.68|19.4|23.18|23.25|,2020/8,Y,N,N
2905,三商,未知,4.41,2.4,1.32|1.15|0.5|0.66|,1.98,11.41,1,1,0.86,3.01,3.81,12.29,22.6,8.31,16.1,19.81|23.73|23.4|18.56|22.74|,2020/8,N,N,Y
2906,高林,未知,0.3,0.32,0.14|0.08|-0.09|-0.04|,0.15,93.33,0.3,0,0.21,3.33,1.5,3,14,60.82,66.21,11.28|11.44|10.55|10.89|11.98|,2020/8,N,N,N
2908,特力,未知,0.2,1.05,0.33|0.27|0.25|0.52|,1.37,17.15,0.71,0,1.88,4.73,8,26.86,23.5,90.49,84.41,19.66|21.44|22.91|21.62|20.4|,2020/8,Y,N,N
2910,統領,未知,0.64,0.42,0.1|0.21|-0.05|0.2|,0.35,89.43,0.7,0,0.49,1.14,1.57,7,31.3,51.12,52.39,24.47|27.87|27.56|27.63|32.09|,2020/8,N,N,N
2912,統一超,未知,10.14,13.43,2.67|2.18|2.46|2.44|,9.66,27.54,9,0,8.34,3.26,3.14,119.14,266,47.01,38.91,237.64|259.03|315.73|301.39|291.02|,2020/8,N,N,N
2915,潤泰全,未知,16.52,12.44,7.91|-2.43|5.61|2.02|,13.27,5.02,5,0,4.43,5.93,6.65,63.29,66.6,14.08,26.68,51.45|49.24|62.7|73.9|67.84|,2020/8,N,N,Y
2916,滿心,未知,1.4,1.36,-0.22|0.83|-0.08|0.25|,0.36,44.31,1.1,0,0.3,6.31,1.88,4.29,15.95,58.05,60.69,17.01|15.91|17.32|18.65|16.54|,2020/8,N,N,N
2923,鼎固-KY,建材營造業,4.72,1.82,0.2|-0.47|-0.24|-0.01|,-9.2,-2.67,2.23,0,-9.68,3.68,-39.35,-138.29,24.6,28.97,31.84,20.93|19.74|19.13|23.48|24.72|,2020/8,N,N,N
2926,誠品生活,未知,4.92,7.75,1.31|1.04|0.15|-0.47|,-0.8,-94.25,4.2,0,-0.7,4.73,-0.93,-10,75.4,54.98,65.68,186.49|145.83|134.37|123.97|86.29|,2020/8,N,N,N
2928,紅馬-KY,未知,3.79,2.98,-0.07|3.3|1.93|-4.41|,-5.33,-5.53,1,0,-2.78,2.22,-9.42,-39.71,29.5,40.34,33.71,54.45|84.21|49.17|35.13|39.53|,2020/8,N,N,N
2937,集雅社,未知,2.22,1.54,0.15|1.07|0.74|0.76|,3.58,9.15,1.55,0,1.82,3.3,5.56,26,32.75,8.31,13.86,21.78|19.04|20.37|28.06|,2020/8,N,N,Y
2939,凱羿-KY,未知,5,11.31,1.87|0.52|0.8|-2.43|,-3.23,-32.51,4.5,0,-2.78,7.79,-2.65,-39.71,105,35.94,42.87,147.22|106.85|113.67|,2020/8,N,N,N
3002,歐格,未知,0.64,0.59,0.16|0.18|-0.04|0.23|,0.26,42.88,0.47,0,0.2,3.4,1.79,2.86,11.15,69.1,58.49,10.21|13.12|11.16|10.33|10.73|,2020/8,N,N,N
3003,健和興,電子零組件業,2.71,2.79,0.86|0.51|0.87|0.46|,2.8,14.96,1,0,1.36,3.19,3.25,19.43,41.9,34.71,35.38,37.03|54.77|49.93|44.1|40.47|,2020/8,N,N,N
3004,豐達科,未知,6.66,4.93,1.94|1.52|1.4|0.27|,3.11,17.11,2.67,0,1.34,3.5,2.52,19.14,53.2,22.79,28.74,58|49.66|56.12|90.42|61.27|,2020/8,N,N,Y
3005,神基,未知,3.67,3.35,1.02|1.21|0.47|1.51|,4.01,11.58,2.8,0,3.26,6.63,7.02,46.57,46.45,13.35,23.5,27.61|41.94|41.92|46.54|45.38|,2020/8,Y,N,Y
3006,晶豪科,半導體業,1.78,2.29,0.3|0.75|1.11|1|,4.29,9.02,1,0,2.8,4.14,7.24,40,38.7,70.93,63.17,29.61|39.52|37.86|32.43|37.08|,2020/8,Y,Y,N
